ID,CourseName
1520,Economía y Desarrollo Sustentable
1521,Física del Interior de la Tierra
1522,Geología y Atmósferas Planetarias
1523,Introducción a la Oceanografía Física
1524,Matemáticas Avanzadas de las Ciencias de la Tierra
1526,Química Planetaria
1527,Taller de Instrumentación
1528,Anatomía Radiológica
1529,Física Computacional
1530,Inglés
1531,Matemáticas Avanzadas
1532,Análisis de Algoritmos
1533,Computación Distribuida
1534,Fundamentos de Bases de Datos
1535,Inglés V
1536,Lenguajes de Programación
1539,Mercados Financieros y Valuación de Instrumentos
1540,Economía
1541,Inferencia Estadística
1600,Biología de Animales III
1601,Evolución I
1602,Recursos Naturales
1603,Taller Nivel 2
1605,Legislación en Seguro Privado y Social
1606,Introducción a la Investigación Social
1608,Matemáticas Actuariales del Seguro de Daños
1609,Economía I
1610,Conservación de la Biodiversidad
1611,Economía Ambiental
1612,Estancia de Investigación III
1613,Procesos Estocásticos
1614,Manejo Sustentable de la Zona Costera
1615,Restauración de los Sistemas Costeros
1616,Computación y Análisis de Datos Geofísicos
1617,Espectroscopía (Física Atómica y Molecular)
1618,Física del Clima
1619,Física Espacial y Planetaria
1620,Geología Estructural
1621,Impacto de los Fenómenos Terrestres
1623,Mineralogía
1624,Oceanografía Biológica
1625,Percepción Remota y Sistemas de Información Geográfica
1626,Química Acuática
1627,Recursos Naturales
1628,Toxicología Ambiental
1630,Bioestadística
1632,Física del Cuerpo Humano
1633,Inglés
1634,Interacción de la Radiación con la Materia
1635,Termofísica
1636,Demografía
1637,Matemáticas Actuariales para Seguro de Daños
1638,Métodos Cuantitativos en Finanzas
1639,Modelos no Paramétricos y de Regresión
1640,Inglés V
1641,Inglés IV
1700,Taller Nivel 3
